trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.15, 'e': 0.7299999999999999}",25,2,-85.66870201190603,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.15, 'e': 0.7249999999999999}",25,0,-167.55374431044888,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
36,False,"{'a': 0.15, 'e': 0.7199999999999999}",25,10,-93.28338383047976,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
37,False,"{'a': 0.15, 'e': 0.7149999999999999}",25,5,-61.289111085932845,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.15, 'e': 0.7099999999999999}",20,0,-56.111784374745184,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.15, 'e': 0.7049999999999998}",20,0,-22.333550409809426,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.15, 'e': 0.6999999999999998}",30,4,-66.57641926978819,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 0}",1
41,False,"{'a': 0.15, 'e': 0.6949999999999998}",25,0,-204.72480356146875,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
42,False,"{'a': 0.15, 'e': 0.6899999999999998}",20,0,-92.50081598281614,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
43,False,"{'a': 0.15, 'e': 0.6849999999999998}",20,12,-19.879470210696333,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.15, 'e': 0.6799999999999998}",20,0,-102.93218214720366,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.15, 'e': 0.6749999999999998}",20,0,-139.9260925695368,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
46,False,"{'a': 0.15, 'e': 0.6699999999999998}",20,0,-18.54792956997035,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.15, 'e': 0.6649999999999998}",35,0,-133.68236743860194,"{0: 23, 1: 3, 2: 5, 3: 3, 4: 1}",0
48,False,"{'a': 0.15, 'e': 0.6599999999999998}",25,4,-32.78545019544626,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.15, 'e': 0.6549999999999998}",35,0,-201.08878204163838,"{0: 24, 1: 1, 2: 5, 3: 1, 4: 4}",0
50,False,"{'a': 0.15, 'e': 0.6499999999999998}",25,0,-120.5637989937236,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.15, 'e': 0.6449999999999998}",20,3,7.999237768058607,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.15, 'e': 0.6399999999999998}",30,7,-63.00473285545503,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 0}",1
53,False,"{'a': 0.15, 'e': 0.6349999999999998}",25,5,-22.33382083471476,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.15, 'e': 0.6299999999999998}",25,8,-39.885834322674825,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.15, 'e': 0.6249999999999998}",25,9,-118.27520075389471,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 2}",1
56,False,"{'a': 0.15, 'e': 0.6199999999999998}",25,10,-2.0561936801680325,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.15, 'e': 0.6149999999999998}",25,0,-95.79787020882475,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
58,False,"{'a': 0.15, 'e': 0.6099999999999998}",20,0,-125.89125214782243,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
59,False,"{'a': 0.15, 'e': 0.6049999999999998}",25,0,-49.128400219668436,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.15, 'e': 0.5999999999999998}",20,0,-54.350768678152676,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.15, 'e': 0.5949999999999998}",20,1,-18.608264762169725,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.15, 'e': 0.5899999999999997}",25,9,-10.64633020258843,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.15, 'e': 0.5849999999999997}",25,1,-38.73779681332087,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 0}",1
64,False,"{'a': 0.15, 'e': 0.5799999999999997}",20,6,-91.08879883684877,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
65,False,"{'a': 0.15, 'e': 0.5749999999999997}",25,0,-27.122013711659434,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.15, 'e': 0.5699999999999997}",20,0,-45.2441429213365,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.15, 'e': 0.5649999999999997}",20,0,0.19224532909925962,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.15, 'e': 0.5599999999999997}",20,0,-186.7057128507869,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
69,False,"{'a': 0.15, 'e': 0.5549999999999997}",20,0,-129.77508682846212,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
70,False,"{'a': 0.15, 'e': 0.5499999999999997}",25,0,-17.358069572477678,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.15, 'e': 0.5449999999999997}",20,2,0.6646595687117547,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
