trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.15, 'e': 0.25999999999999934}",25,19,-1.0697193825933793,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.15, 'e': 0.25499999999999934}",25,0,20.95257178971535,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.15, 'e': 0.24999999999999933}",20,6,-2.313152736464013,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.15, 'e': 0.24499999999999933}",20,13,1.2672868937940107,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.15, 'e': 0.23999999999999932}",25,11,17.325663115925895,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.15, 'e': 0.23499999999999932}",20,13,12.410815307788365,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.15, 'e': 0.22999999999999932}",20,10,18.444272304690536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.15, 'e': 0.2249999999999993}",20,13,1.6730924398321512,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.15, 'e': 0.2199999999999993}",25,17,-18.194217063305235,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.15, 'e': 0.2149999999999993}",25,14,7.679478006577397,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.15, 'e': 0.2099999999999993}",25,15,-7.679307296284765,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.15, 'e': 0.2049999999999993}",20,4,-55.485423629685975,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
160,False,"{'a': 0.15, 'e': 0.1999999999999993}",25,17,15.87327691154189,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.15, 'e': 0.19499999999999929}",20,0,22.743629930422042,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.15, 'e': 0.18999999999999928}",25,4,21.944794579915712,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.15, 'e': 0.18499999999999928}",20,11,13.31677974930283,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.15, 'e': 0.17999999999999927}",30,19,7.934919427742378,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.15, 'e': 0.17499999999999927}",25,8,28.113794136714606,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.15, 'e': 0.16999999999999926}",25,14,21.491935489429316,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.15, 'e': 0.16499999999999926}",20,0,5.334761653157275,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.15, 'e': 0.15999999999999925}",30,3,-0.5953770317211162,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.15, 'e': 0.15499999999999925}",30,19,-11.799432367019925,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.15, 'e': 0.14999999999999925}",20,5,10.264712777392083,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.15, 'e': 0.14499999999999924}",35,21,-27.665330524525352,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.15, 'e': 0.13999999999999924}",20,5,28.323346638796004,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.15, 'e': 0.13499999999999923}",25,7,32.51479653500506,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
